N,beta1,beta2,beta3,cor_xm,rel,method,par,bias,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.8,0,0.7,tspa,yint,-0.003620245906335173,0.2034227710665769,-0.14952867935543657,-0.017754924564068023,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,tspa,ym,-0.003963075304689435,0.13899503482939948,-0.08813999034525877,-0.028452549064499223,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,tspa,yx,-0.012188214755093282,0.12080538881841063,0.05701485259175998,-0.10115492016132706,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,upi,yint,-0.09068885356206424,0.21900326044509869,-0.3809857660261786,-0.4537980950437795,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,upi,ym,-0.006886529965553483,0.15703425062011872,-0.17706710347985277,-0.04378603333489419,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,upi,yx,0.0021591133742296974,0.135554320023096,-0.06557041276564235,0.015890176562171784,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.8,rapi,yint,0.031437991141305036,0.15722769340858866,-0.09749004877557044,0.20356228872392515,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,rapi,ym,-0.0015018289232646377,0.12450325081837309,-0.10440667902103162,-0.012033249226341105,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,rapi,yx,0.010981489374612661,0.12471951566573665,-0.10591285049192956,0.08817153674043957,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,tspa,yint,0.016748665124778097,0.1479044832518423,-0.0919932536639898,0.113687558418424,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,tspa,ym,-0.004419805044318157,0.12138928817434814,-0.09798987496830946,-0.03634313205386808,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,tspa,yx,0.008209457146407913,0.12152031748225826,-0.10026051875306807,0.0675414500407681,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,upi,yint,-0.03952610742457554,0.16297698681465478,-0.3030852375372255,-0.249363371551023,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,upi,ym,0.0018472454168015652,0.12363169359141735,-0.11971388229753666,0.014905783288859775,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,upi,yx,0.010806742304770548,0.1209179318330346,-0.10003091665803665,0.08950700847260669,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.9,rapi,yint,0.011017690407967242,0.12881339832751845,-0.14944343975515884,0.08563188462915315,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
